major,percent
American Studies,1
Biochemistry,1
Computer Science,1
Self-Designed Major,1.9
Environmental Studies,1.9
Africana Studies,2.9
Gender & Women's Studies,2.9
Integrated International Studies,2.9
Theatre,2.9
Chemistry,2.9
Studio Art,3.8
Political Science,3.8
French,4.8
English Literature,4.8
International Relations,4.8
Spanish,5.8
Creative writing,5.8
Ed Studies - Elementary,7.7
Biology,7.7
Anthropology & Sociology,9.6
Economics,9.6
Psychology,10.6
