major,percent
Black Studies,1.5
Classics - Latin,1.5
Social Science Education,1.5
Mathematics,1.5
Philosophy,1.5
Chemistry,1.5
Neuroscience,1.5
International Relations,1.5
Asian Studies,3
Ed Studies - Secondary,3
Environmental Studies,3
Music,4.5
Theatre,4.5
Political Science,4.5
Ed Studies - Elementary,4.5
Psychology,4.5
History,6
Economics,6
Computer Science,7.5
Biology,7.5
English Literature,9
Anthropology & Sociology,10.4
Creative writing,10.4
